-4.961845129926823	-1.557588919462737e-10	4.2525045824125505e-19	1.
-4.956787974617092	-1.5847490918614591e-10	4.401706180240507e-19	1.
-4.951730819307361	-1.6123816139595277e-10	4.556137340009134e-19	1.
-4.946673663997631	-1.6404946843158742e-10	4.715981200221862e-19	1.
-4.9416165086879	-1.669096643586602e-10	4.881427308022297e-19	1.
-4.936559353378168	-1.6981959769851836e-10	5.052671843357736e-19	1.
-4.931502198068436	-1.7278013167854898e-10	5.229917850990763e-19	1.
-4.926445042758705	-1.7579214448677862e-10	5.4133754804027515e-19	1.
-4.921387887448974	-1.7885652953089945e-10	5.603262234403908e-19	1.
-4.916330732139243	-1.8197419570177338e-10	5.799803226194617e-19	1.
-4.911273576829512	-1.8514606764148452e-10	6.003231445415496e-19	1.
-4.9062164215197805	-1.883730860160342e-10	6.213788033734495e-19	1.
-4.90115926621005	-1.9165620779276796e-10	6.43172256973485e-19	1.
-4.896102110900319	-1.949964065225722e-10	6.65729336395821e-19	1.
-4.891044955590588	-1.98394672626972e-10	6.890767764295082e-19	1.
-4.885987800280857	-2.018520136902118e-10	7.132422471913969e-19	1.
-4.880930644971125	-2.0536945475634887e-10	7.38254386827298e-19	1.
-4.875873489661394	-2.089480386315236e-10	7.641428353654425e-19	1.
-4.870816334351662	-2.125888261914458e-10	7.909382697375032e-19	1.
-4.865759179041931	-2.1629289669418243e-10	8.186724400277343e-19	1.
-4.8607020237322	-2.2006134809838982e-10	8.473782070098567e-19	1.
-4.85564486842247	-2.2389529738702425e-10	8.770895809549413e-19	1.
-4.850587713112739	-2.277958808966537e-10	9.078417618278745e-19	1.
-4.8455305578030075	-2.3176425465248242e-10	9.396711808943971e-19	1.
-4.840473402493276	-2.358015947091683e-10	9.726155437361125e-19	1.
-4.835416247183545	-2.399090974975152e-10	1.0067138748252837e-18	1.
-4.830359091873814	-2.4408798017719623e-10	1.0420065636218945e-18	1.
-4.825301936564082	-2.483394809955538e-10	1.078535412280122e-18	1.
-4.820244781254351	-2.526648596525927e-10	1.1163436850467964e-18	1.
-4.81518762594462	-2.570653976723395e-10	1.155476159364879e-18	1.
-4.810130470634889	-2.615423987805639e-10	1.1959791787585546e-18	1.
-4.805073315325158	-2.660971892890651e-10	1.2379007075873366e-18	1.
-4.800016160015427	-2.7073111848661763e-10	1.2812903877120073e-18	1.
-4.794959004705696	-2.754455590366476e-10	1.3261995970979258e-18	1.
-4.789901849395965	-2.8024190738181525e-10	1.37268151053292e-18	1.
-4.7848446940862335	-2.851215841555908e-10	1.4207911624141727e-18	1.
-4.779787538776502	-2.9008603460093674e-10	1.4705855117378414e-18	1.
-4.774730383466771	-2.951367289962156e-10	1.5221235093692234e-18	1.
-4.769673228157039	-3.0027516308850936e-10	1.5754661676860742e-18	1.
-4.764616072847309	-3.0550285853441545e-10	1.6306766326105022e-18	1.
-4.759558917537578	-3.108213633484656e-10	1.6878202581633188e-18	1.
-4.7545017622278465	-3.1623225235927006e-10	1.7469646836624962e-18	1.
-4.749444606918115	-3.217371276736172e-10	1.8081799135784615e-18	1.
-4.744387451608384	-3.273376191485365e-10	1.871538400180191e-18	1.
-4.739330296298653	-3.330353848715399e-10	1.937115129098508e-18	1.
-4.734273140988922	-3.388321116492183e-10	2.004987707873196e-18	1.
-4.729215985679191	-3.4472951550422233e-10	2.075236457535745e-18	1.
-4.72415883036946	-3.5072934218088065e-10	2.1479445074862674e-18	1.
-4.719101675059728	-3.5683336765956304e-10	2.2231978936081062e-18	1.
-4.714044519749997	-3.6304339867990005e-10	2.3010856598078414e-18	1.
-4.708987364440266	-3.6936127327309353e-10	2.381699963205473e-18	1.
-4.703930209130535	-3.7578886130343077e-10	2.4651361828451186e-18	1.
-4.698873053820804	-3.8232806501911876e-10	2.551493032305315e-18	1.
-4.6938158985110725	-3.8898081961268717e-10	2.6408726762501337e-18	1.
-4.688758743201341	-3.9574909379110604e-10	2.73338085097912e-18	1.
-4.68370158789161	-4.026348903556895e-10	2.829126989244637e-18	1.
-4.67864443258188	-4.0964024679209817e-10	2.9282243494241813e-18	1.
-4.673587277272149	-4.1676723587052616e-10	3.0307901491623713e-18	1.
-4.668530121962417	-4.240179662562185e-10	3.136945703715574e-18	1.
-4.6634729666526855	-4.3139458313062905e-10	3.2468165691641456e-18	1.
-4.658415811342954	-4.3889926882326187e-10	3.3605326905156824e-18	1.
-4.653358656033223	-4.465342434544333e-10	3.478228555078858e-18	1.
-4.648301500723492	-4.543017655892044e-10	3.600043351237829e-18	1.
-4.643244345413761	-4.622041329025883e-10	3.726121132550042e-18	1.
-4.638187190104031	-4.702436828562394e-10	3.856610987864434e-18	1.
-4.633130034794299	-4.784227933869136e-10	3.991667217179261e-18	1.
-4.628072879484568	-4.867438836067585e-10	4.13144951366573e-18	1.
-4.623015724174837	-4.952094145157316e-10	4.276123152164271e-18	1.
-4.617958568865106	-5.038218897263977e-10	4.425859184129517e-18	1.
-4.612901413555374	-5.125838562011728e-10	4.5808346394207145e-18	1.
-4.607844258245643	-5.214979050023417e-10	4.741232735201154e-18	1.
-4.6027871029359115	-5.305666720551255e-10	4.907243092100474e-18	1.
-4.59772994762618	-5.397928389238203e-10	5.079061957828788e-18	1.
-4.59267279231645	-5.491791336014479e-10	5.2568924387852904e-18	1.
-4.587615637006719	-5.587283313130548e-10	5.4409447395927285e-18	1.
-4.582558481696988	-5.68443255332842e-10	5.6314364110208716e-18	1.
-4.577501326387257	-5.783267778154294e-10	5.8285926066303144e-18	1.
