-5.	-2.5616887760326017e-32	2.2147470997408143e-61	1.
-4.99	-2.9762565045003433e-32	2.9895929025624684e-61	1.
-4.98	-3.457915243859332e-32	4.035524170272749e-61	1.
-4.97	-4.017522569027832e-32	5.4473820853848446e-61	1.
-4.96	-4.6676931728678527e-32	7.353188675551613e-61	1.
-4.95	-5.423083226169083e-32	9.925755354933891e-61	1.
-4.94	-6.300720756447555e-32	1.3398352788821043e-60	1.
-4.93	-7.320389492905033e-32	1.8085862960578358e-60	1.
-4.92	-8.505074830119581e-32	2.4413331422909972e-60	1.
-4.91	-9.8814819633e-32	3.2954508732527266e-60	1.
-4.9	-1.1480637874809788e-31	4.4483875843407466e-60	1.
-4.89	-1.3338590741818618e-31	6.004687090052626e-60	1.
-4.88	-1.5497222530975523e-31	8.105468529896404e-60	1.
-4.87	-1.800519309743013e-31	1.0941222470532154e-59	1.
-4.86	-2.0919037069844745e-31	1.4769083798844173e-59	1.
-4.85	-2.4304438247105616e-31	1.9936147635794876e-59	1.
-4.84	-2.8237710233826155e-31	2.691094245437006e-59	1.
-4.83	-3.2807516690714626e-31	3.632591424251012e-59	1.
-4.82	-3.8116869977157874e-31	4.9034773981987645e-59	1.
-4.81	-4.4285453238792895e-31	6.618990844947567e-59	1.
-4.8	-5.145231828378175e-31	8.934687359220967e-59	1.
-4.79	-5.977902006237075e-31	1.2060544544761541e-58	1.
-4.78	-6.945325840601717e-31	1.628000184355875e-58	1.
-4.77	-8.069310911674303e-31	2.1975661542757e-58	1.
-4.76	-9.375193978223548e-31	2.966398140189733e-58	1.
-4.75	-1.0892412112689776e-30	4.004210465766907e-58	1.
-4.74	-1.2655166264158851e-30	5.405107371841665e-58	1.
-4.73	-1.4703192206933771e-30	7.296115944842594e-58	1.
-4.72	-1.708265625305245e-30	9.848704326717246e-58	1.
-4.71	-1.984719591944822e-30	1.329432961825784e-57	1.
-4.7	-2.3059129007923637e-30	1.794542527852936e-57	1.
-4.69	-2.6790858352351302e-30	2.4223731046770213e-57	1.
-4.68	-3.1126503898101008e-30	3.269853419222871e-57	1.
-4.67	-3.616379890305589e-30	4.41382896007261e-57	1.
-4.66	-4.201629300319365e-30	5.958029932308593e-57	1.
-4.65	-4.88159118028043e-30	8.042476973772468e-57	1.
-4.64	-5.671593068589907e-30	1.0856177489813234e-56	1.
-4.63	-6.589442988236766e-30	1.4654263837197478e-56	1.
-4.62	-7.655830867047406e-30	1.97811273477732e-56	1.
